,Or30a,Or42a,Or45a,Or45b,Or49a,Or69a,Or67b,Or74a,Or85c,Or94a,Or94b
ethyl acetate,13.1736526946108,279.041916167665,45.5089820359281,14.9700598802395,16.7664670658683,46.7065868263473,23.3532934131736,26.9461077844311,48.502994011976,9.58083832335329,20.9580838323353
pentyl acetate,13.1736526946108,67.0658682634731,173.053892215569,21.5568862275449,39.5209580838323,27.5449101796407,114.37125748503,39.5209580838323,247.904191616766,26.3473053892216,40.7185628742515
ethyl butyrate,10.7784431137725,258.083832335329,53.8922155688623,11.9760479041916,22.1556886227545,21.5568862275449,9.58083832335329,28.7425149700599,71.2574850299401,7.78443113772455,25.1497005988024
methyl salicylate,29.940119760479,41.3173652694611,11.377245508982,3.59281437125748,7.18562874251497,18.562874251497,3.59281437125748,13.7724550898204,32.9341317365269,17.3652694610778,36.5269461077844
1-hexonol,16.7664670658683,174.850299401198,99.4011976047904,31.7365269461078,43.1137724550898,18.562874251497,217.365269461078,128.74251497006,217.964071856287,34.7305389221557,37.125748502994
1-octen-3-ol,10.1796407185629,54.4910179640719,62.874251497006,25.748502994012,37.7245508982036,18.562874251497,59.8802395209581,40.1197604790419,229.940119760479,17.9640718562874,34.1317365269461
E2-hexenal,11.9760479041916,222.754491017964,105.389221556886,19.7604790419162,27.5449101796407,18.562874251497,141.916167664671,117.964071856287,138.922155688623,14.9700598802395,25.1497005988024
"2,3-butanedione",11.9760479041916,256.88622754491,38.9221556886228,20.3592814371257,24.5508982035928,21.5568862275449,50.2994011976048,23.3532934131736,80.2395209580838,12.5748502994012,24.5508982035928
2-heptanone,19.7604790419162,197.005988023952,172.455089820359,22.7544910179641,43.7125748502994,29.3413173652695,167.664670658683,79.0419161676647,219.161676646707,26.3473053892216,44.9101796407186
geranyl acetate,5.98802395209581,52.6946107784431,40.1197604790419,5.98802395209581,12.5748502994012,6.58682634730539,14.9700598802395,19.1616766467066,41.3173652694611,10.1796407185629,11.377245508982
propyl acetate,22.7544910179641,300,80.8383233532934,16.1676646706587,22.1556886227545,35.9281437125748,27.5449101796407,57.4850299401198,114.97005988024,8.38323353293413,24.5508982035928
isoamyl acetate,10.1796407185629,130.538922155689,68.8622754491018,2.9940119760479,30.5389221556886,24.5508982035928,29.3413173652695,58.6826347305389,200,0,30.5389221556886
octyl acetate,10.1796407185629,20.9580838323353,258.682634730539,5.98802395209581,7.18562874251497,12.5748502994012,10.7784431137725,55.0898203592814,35.9281437125748,23.3532934131736,8.98203592814371
1-butanol,16.7664670658683,115.568862275449,67.6646706586826,47.9041916167665,28.1437125748503,24.5508982035928,168.862275449102,31.1377245508982,62.874251497006,31.7365269461078,13.1736526946108
1-heptanol,8.98203592814371,73.0538922155689,149.101796407186,27.5449101796407,38.3233532934132,25.1497005988024,176.047904191617,146.107784431138,241.317365269461,7.18562874251497,31.7365269461078
3-octanol,14.3712574850299,65.2694610778443,83.8323353293413,11.9760479041916,37.7245508982036,41.3173652694611,29.3413173652695,33.5329341317365,277.245508982036,4.19161676646707,46.7065868263473
1-nonanol,16.1676646706587,24.5508982035928,98.2035928143712,5.98802395209581,9.58083832335329,11.9760479041916,9.58083832335329,155.688622754491,26.9461077844311,17.3652694610778,7.18562874251497
cyclohexanone,7.78443113772455,92.2155688622754,60.4790419161677,20.3592814371257,12.5748502994012,27.5449101796407,89.8203592814371,80.2395209580838,46.1077844311377,6.58682634730539,16.7664670658683
(-) fenchone,10.7784431137725,36.5269461077844,44.9101796407186,0,14.9700598802395,22.7544910179641,9.58083832335329,19.1616766467066,33.5329341317365,7.18562874251497,8.98203592814371
anisole,211.377245508982,63.4730538922156,31.1377245508982,133.532934131737,5.38922155688623,108.383233532934,88.0239520958084,16.1676646706587,44.9101796407186,229.341317365269,26.3473053892216
methyl eugenol,17.9640718562874,25.1497005988024,19.1616766467066,10.1796407185629,8.98203592814371,137.724550898204,8.98203592814371,17.9640718562874,43.7125748502994,8.38323353293413,15.5688622754491
benzaldehyde,179.640718562874,49.7005988023952,44.311377245509,228.74251497006,7.78443113772455,18.562874251497,238.323353293413,46.1077844311377,48.502994011976,34.7305389221557,17.3652694610778
acetophenone,114.37125748503,74.8502994011976,63.4730538922156,272.455089820359,11.377245508982,82.0359281437126,295.808383233533,26.9461077844311,17.3652694610778,52.6946107784431,43.7125748502994
2-methylphenol,217.964071856287,10.1796407185629,35.3293413173653,282.634730538922,10.7784431137725,143.712574850299,3.59281437125748,13.7724550898204,24.5508982035928,267.664670658683,64.0718562874252
4-methylphenol,194.011976047904,21.5568862275449,33.5329341317365,100.59880239521,10.7784431137725,2.9940119760479,8.38323353293413,19.1616766467066,25.1497005988024,84.4311377245509,136.526946107784
propionic acid,5.98802395209581,77.2455089820359,92.2155688622754,8.98203592814371,14.3712574850299,27.5449101796407,20.3592814371257,86.2275449101796,56.8862275449102,53.8922155688623,16.7664670658683
CO2,10.7784431137725,36.5269461077844,43.7125748502994,4.79041916167665,8.38323353293413,6.58682634730539,7.18562874251497,31.1377245508982,16.1676646706587,9.58083832335329,7.78443113772455
po,10.1796407185629,38.9221556886228,14.9700598802395,4.19161676646707,7.18562874251497,7.18562874251497,10.7784431137725,19.1616766467066,41.3173652694611,7.18562874251497,8.98203592814371
H2O,13.7724550898204,39.5209580838323,84.4311377245509,7.18562874251497,10.7784431137725,30.5389221556886,18.562874251497,87.4251497005988,46.1077844311377,60.4790419161677,19.7604790419162
spontaneous,5.98802395209581,12.5748502994012,12.5748502994012,7.78443113772455,5.98802395209581,8.38323353293413,11.377245508982,16.1676646706587,8.38323353293413,17.3652694610778,7.18562874251497
